post_date,post_count,n_image_only,avg_upvotes,max_upvotes,total_upvotes,avg_reblogs,total_reblogs,avg_replies,n_quotes,n_with_link,avg_text_len
2025-11-14,2,0,16480.5,17271,32961,3345.5,6691,865.5,0,0,533.0
2025-11-15,13,6,22275.9,43486,289587,5387.2,70034,3687.8,0,1,426.7
2025-11-16,2,0,24663.5,35253,49327,7076.0,14152,4056.0,0,1,743.0
2025-11-17,27,2,13980.6,40434,377476,3676.6,99268,955.5,2,16,298.9
2025-11-18,6,0,22584.2,36369,135505,5967.5,35805,2392.8,0,0,485.2
2025-11-19,16,4,16625.1,31921,266001,3975.8,63612,934.9,0,8,227.5
2025-11-20,9,1,34570.1,72268,311131,8930.9,80378,5149.7,1,0,447.2
2025-11-21,6,3,19766.7,38457,118600,4954.3,29726,2899.7,1,1,90.7
2025-11-22,27,19,15556.0,44880,420013,4082.0,110215,1192.3,3,0,276.5
2025-11-23,20,9,18500.1,36722,370002,5344.6,106891,1853.8,3,2,373.2
2025-11-24,36,20,20223.2,42033,728037,5143.3,185160,1312.0,3,6,266.0
2025-11-25,7,2,22427.1,32784,156990,5460.4,38223,1911.1,0,2,925.8
2025-11-26,22,1,22244.2,62102,489372,5093.2,112051,1649.9,0,12,371.5
2025-11-27,3,0,35081.7,48565,105245,7539.7,22619,3589.0,0,0,201.3
2025-11-28,10,2,31196.5,78933,311965,8006.4,80064,3201.1,0,0,862.5
2025-11-29,18,5,23216.3,51067,417894,5846.9,105245,1584.7,0,6,244.8
2025-11-30,7,0,29825.6,53502,208779,7186.9,50308,2296.1,0,0,342.0
2025-12-01,7,1,20896.7,34392,146277,5753.0,40271,2020.0,1,1,301.7
2025-12-02,178,88,8139.6,66588,1448846,2337.0,415992,338.5,74,7,129.2
2025-12-03,6,0,27849.3,39459,167096,6737.7,40426,1980.8,1,2,289.7
2025-12-04,29,9,15216.4,32462,441275,4128.9,119737,1030.9,3,6,335.9
2025-12-05,3,0,35943.0,41988,107829,8676.0,26028,3652.3,0,0,431.0
2025-12-06,24,1,16500.3,25709,396008,4309.0,103417,1085.6,2,12,359.7
2025-12-07,10,4,21525.4,39207,215254,5521.5,55215,1809.8,0,1,628.3
2025-12-08,5,0,26783.8,40574,133919,6752.2,33761,3088.8,0,1,800.4
2025-12-09,2,0,27332.5,31679,54665,7108.5,14217,2971.0,0,1,332.0
2025-12-10,12,8,16714.6,38027,200575,4409.8,52917,1579.0,1,2,947.5
2025-12-11,8,0,25978.4,38352,207827,7049.2,56394,3451.4,1,0,851.8
2025-12-12,22,21,14979.5,36331,329550,3597.2,79138,768.3,0,0,931.0
2025-12-13,8,0,25188.0,41103,201504,5991.0,47928,2186.5,0,1,247.9
2025-12-14,4,1,22373.8,31971,89495,5087.2,20349,2180.0,0,2,100.3
2025-12-15,2,0,33722.0,43330,67444,8039.0,16078,19142.0,1,1,474.5
2025-12-16,8,2,29759.8,52392,238078,7622.5,60980,2540.4,0,1,498.3
2025-12-17,10,1,24240.9,36147,242409,5881.7,58817,2254.9,1,1,390.7
2025-12-18,6,0,14901.5,17317,89409,3354.7,20128,531.8,0,0,800.7
2025-12-19,14,2,21351.2,32620,298917,5305.4,74276,1521.4,0,4,284.1
2025-12-20,6,1,23098.0,28334,138588,5385.5,32313,1581.8,0,1,610.6
2025-12-22,8,7,21738.0,25429,173904,5081.9,40655,1407.6,0,0,359.0
2025-12-23,12,3,18878.3,33514,226540,4972.8,59673,1627.4,1,0,571.7
2025-12-24,10,0,17921.8,39272,179218,4130.4,41304,2333.1,0,5,192.4
2025-12-25,135,63,7872.3,54304,1062766,2295.4,309884,365.6,66,1,114.7
2025-12-26,18,4,21863.3,33722,393540,5637.4,101474,1533.1,2,6,164.9
2025-12-27,3,0,32764.0,39874,98292,7728.3,23185,3502.3,0,1,223.3
2025-12-28,7,3,23692.0,35653,165844,6266.9,43868,2464.6,2,0,313.8
2025-12-30,18,6,13165.2,24244,236974,3550.2,63904,862.5,0,10,159.7
2025-12-31,16,0,29883.6,57801,478137,7453.3,119253,3386.2,0,4,356.6
2026-01-01,1,0,21157.0,21157,21157,5611.0,5611,2029.0,0,1,514.0
2026-01-02,12,1,24573.7,38015,294884,6209.8,74518,2421.3,0,2,182.2
2026-01-03,68,43,16652.3,97957,1132354,4239.7,288301,1018.6,20,2,100.1
2026-01-04,1,1,22568.0,22568,22568,8907.0,8907,5717.0,0,0,
2026-01-05,96,47,11282.3,64844,1083103,3187.0,305948,506.1,43,1,166.2
2026-01-06,16,2,25749.1,68742,411986,5614.9,89839,1497.9,0,0,776.6
2026-01-07,10,0,34960.2,55829,349602,8296.4,82964,3502.8,0,0,828.8
2026-01-08,7,0,30105.1,46755,210736,8445.1,59116,3592.7,0,3,491.7
2026-01-09,18,7,22475.0,42046,404550,5345.4,96217,1328.4,0,2,438.2
2026-01-10,23,5,23326.1,40929,536501,5470.6,125824,1673.0,1,8,271.9
2026-01-11,17,8,22689.6,44811,385724,5308.8,90250,1654.8,0,4,314.7
2026-01-12,10,1,32439.9,57679,324399,7714.2,77142,3341.2,0,3,419.8
2026-01-13,10,2,36922.8,86849,369228,9281.1,92811,4791.9,0,1,434.6
2026-01-14,8,1,28800.5,46005,230404,7249.8,57998,2601.5,0,3,333.7
2026-01-15,8,1,38134.2,75043,305074,9521.1,76169,5595.2,1,0,333.7
2026-01-16,6,1,35091.7,58663,210550,8031.2,48187,5571.2,0,0,442.8
2026-01-17,8,2,31611.8,61539,252894,8154.4,65235,3983.1,0,2,863.5
2026-01-18,8,0,26243.4,47865,209947,6015.5,48124,2398.6,0,0,560.8
2026-01-19,18,3,24911.1,56684,448400,6571.2,118281,2510.0,0,8,224.8
2026-01-20,43,20,14117.3,31499,607044,3877.2,166719,987.5,14,1,195.7
2026-01-21,12,2,23600.2,60483,283203,6028.6,72343,2119.2,1,6,192.2
2026-01-22,53,23,11494.0,35157,609180,3103.2,164472,612.4,17,3,231.4
2026-01-23,128,46,8873.3,32465,1135785,2287.0,292738,454.7,37,12,361.1
2026-01-24,13,2,28282.4,46470,367671,7418.4,96439,3388.3,1,2,397.9
2026-01-25,8,0,33840.0,45908,270720,8671.0,69368,4231.0,1,0,889.5
2026-01-26,14,0,30088.4,59747,421238,6905.4,96676,3402.8,0,2,631.4
2026-01-27,4,1,20650.2,22988,82601,4916.8,19667,1984.0,0,1,805.0
2026-01-28,20,2,19479.3,57517,389586,4773.4,95467,1797.3,0,6,740.3
2026-01-29,88,44,11087.1,50374,975661,3212.3,282684,569.0,39,3,153.8
2026-01-30,7,2,21897.1,31462,153280,5331.0,37317,1819.7,0,0,647.2
2026-01-31,21,6,21056.1,69907,442179,6097.2,128041,1842.2,6,3,499.7
2026-02-01,19,7,16654.4,33156,316434,3958.9,75220,1109.7,1,7,350.8
2026-02-02,18,3,23193.8,50719,417489,5582.9,100493,2103.6,0,6,364.7
2026-02-03,11,1,21607.4,28731,237681,5232.9,57562,1832.7,0,4,422.3
2026-02-04,4,0,21853.5,32408,87414,5179.5,20718,2402.2,0,2,627.8
2026-02-05,35,8,14618.3,36578,511639,4030.7,141074,859.0,8,5,575.3
2026-02-06,85,37,11441.1,31605,972497,2963.3,251878,499.4,33,7,151.9
